MSOA11CD,RGN19NM,DeathRate,Deaths,Score,Extent,Proportion
E02000001,London,51.43503754757741,5,15.328364160065837,0.018910768331176667,0
E02000002,London,284.42146089204914,22,34.903045378151255,0,0.75
E02000003,London,107.39216037229282,12,25.21583801682477,0,0
E02000004,London,209.36144758486614,14,23.83264333781965,0,0.25
E02000005,London,124.61656441717791,13,29.818488976226995,0,0.4
E02000007,London,189.0923566878981,19,35.89233986863058,0.018111224019443508,0.8
E02000008,London,150.0552835255094,19,34.47295174537988,0,0.5714285714285714
E02000009,London,126.806999746386,15,36.41676929579846,0,0.8333333333333334
E02000010,London,97.78357235984356,9,34.51029378531073,0,0.8
E02000011,London,228.7675150128682,16,25.830212038890476,0,0
E02000012,London,115.13594898591799,13,20.677539987600742,0,0
E02000013,London,78.22977201609298,7,36.11189427805096,0,0.8
E02000014,London,130.66639863302845,13,36.600098904412505,0,0.8333333333333334
E02000015,London,85.47008547008546,7,39.33451196581197,0,0.75
E02000016,London,19.958088015168148,2,33.57657808601935,0,0.5
E02000017,London,118.59838274932615,11,27.350145336927223,0,0
E02000018,London,176.18406052440668,17,36.442907140636336,0,0.6
E02000019,London,109.00370612600828,10,32.03698746457379,0,0.2
E02000020,London,89.85398727068514,12,33.289194459004115,0,0.8
E02000021,London,156.52951699463327,14,31.776587880143108,0,0.4
E02000022,London,73.32274227056091,6,37.97126872785042,0,1
E02000023,London,99.70089730807577,8,38.95517011465603,0.011197657028913245,0.75
E02000024,London,171.83684543727955,19,9.257982273672786,0,0
E02000025,London,227.6266922247514,19,15.921343596501739,0,0
E02000026,London,121.34081601698772,8,10.820454421355983,0,0
E02000027,London,228.26312512969497,22,22.451826520024902,0.07481433142932033,0.16666666666666666
E02000028,London,146.864444118079,10,12.942865325304744,0,0
E02000029,London,105.80890911014707,10,16.45714178393821,0,0
E02000030,London,140.67741586408397,13,13.585904122930419,0,0
E02000031,London,203.66598778004072,16,9.095751272912423,0,0
E02000032,London,90.07849697593618,7,8.445185690387337,0,0
E02000033,London,123.55385825002809,11,17.110076154105357,0.070487476131641,0.2
E02000034,London,117.5716117999145,11,12.775617999144934,0,0
